Name,Primary Field / Focus,Core Motivation / Conflict,Top 3 Character Traits (Simple),Famous Quote,Color
Margaret Thatcher,Politics/Resilience,Leading Britain Through Change,Iron-Willed / Logical / Fearless,"If you want something said ask a man. If you want something done ask a woman.",#A7C7E7
Mother Teresa,Charity/Service,Serving Humanity Through Faith,Humble / Kind / Devoted,"Not all of us can do great things. But we can do small things with great love.",#A7C7E7
Princess Diana,Compassion/Humanitarianism,Bringing Humanity to Royalty,Graceful / Empathetic / Courageous,"Carry out a random act of kindness with no expectation of reward.",#A7C7E7
Queen Nefertiti,Legacy/Beauty,Preserving Power in Ancient Egypt,Charismatic / Influential / Regal,"A beautiful woman is a gift of the gods.",#A7C7E7
Eleanor Roosevelt,Politics/Human Rights,Redefining the Role of First Lady,Empathetic / Visionary / Bold,"No one can make you feel inferior without your consent.",#A7C7E7
Golda Meir,Politics/Determination,Building and Protecting Israel,Practical / Tough / Committed,"Trust yourself. Create the kind of self you will be happy to live with.",#A7C7E7
Benazir Bhutto,Politics/Courage,Challenging Dictatorship/Leading Pakistan,Brave / Idealistic / Intelligent,"Democracy is the best revenge.",#A7C7E7
Queen Liliʻuokalani,Freedom/Justice,Resisting U.S. Annexation,Peaceful / Resolute / Patriotic,"Never cease to act because you fear you may fail.",#A7C7E7
Harriet Beecher Stowe,Literature/Reform,Challenging Slavery Through Words,Empathetic / Moral / Persuasive,"I would write something that would make this whole nation feel what an accursed thing slavery is.",#A7C7E7
Clara Barton,Medicine/Care,Founding the American Red Cross,Selfless / Brave / Dedicated,"I may be compelled to face danger but never fear it.",#A7C7E7
Helen Keller,Education/Perseverance,Overcoming Disability to Inspire the World,Strong / Curious / Optimistic,"The only thing worse than being blind is having sight but no vision.",#A7C7E7
Simone de Beauvoir,Philosophy/Feminism,Questioning Gender Roles,Intellectual / Radical / Honest,"One is not born but rather becomes a woman.",#A7C7E7
Hatshepsut,Empire/Innovation,Proving Herself as Pharaoh,Ambitious / Diplomatic / Bold,"I have done this with a loving heart for my father Amun.",#A7C7E7
Boudica,Rebellion/Justice,Leading Revolt Against Rome,Fierce / Fearless / Patriotic,"I am fighting as one of the people for my lost freedom.",#A7C7E7
Harriet Martineau,Sociology/Equality,Challenging Class and Gender Norms,Insightful / Bold / Rational,"Readers are leaders.",#A7C7E7
Queen Isabella I,Exploration/Religion,Uniting Spain/Backing Columbus,Faithful / Ambitious / Strategic,"The distance is nothing when one has motive.",#A7C7E7
Queen Hatshepsut (Egypt),Power/Legacy,Defying Gender to Rule Egypt,Innovative / Bold / Visionary,"I have made this monument with love for eternity.",#A7C7E7
Queen Nzinga Mbande,Resistance/Power,Fighting Portuguese Colonization,Strategic / Fierce / Defiant,"I am the equal of any man.",#A7C7E7
Wangari Maathai,Environment/Peace,Restoring Nature and Empowering Women,Peaceful / Visionary / Persistent,"It's the little things citizens do. That’s what will make the difference.",#A7C7E7
Rigoberta Menchú,Human Rights/Justice,Defending Indigenous Communities,Brave / Articulate / Persistent,"Peace is not only the absence of war but the presence of justice.",#A7C7E7
Aung San Suu Kyi,Democracy/Peace,Fighting for Freedom in Myanmar,Resilient / Peaceful / Courageous,"The only real prison is fear.",#A7C7E7
Emmeline Pankhurst,Activism/Suffrage,Fighting for Women's Voting Rights,Defiant / Fearless / Persistent,"Deeds not words.",#A7C7E7
Rosa Luxemburg,Politics/Philosophy,Standing Against Injustice,Passionate / Radical / Intellectual,"Freedom is always the freedom of the dissenters.",#A7C7E7
Queen Anne Boleyn,Reform/Legacy,Challenging Royal Power Structure,Ambitious / Intelligent / Bold,"The most important thing is to be true to yourself.",#A7C7E7
Cixi (Dowager Empress),Power/Modernization,Balancing Reform with Control,Shrewd / Powerful / Complex,"Better to be a ghost of a ruler than a puppet of men.",#A7C7E7
Savitri Bai Phule,Education/Reform,Empowering Women Through Learning,Brave / Progressive / Inspiring,"Awake arise educate — smash traditions.",#A7C7E7
Sarojini Naidu,Poetry/Activism,Uniting Art with Freedom Movement,Eloquent / Charismatic / Brave,"A country’s greatness lies in its people’s hearts.",#A7C7E7
Rukmini Devi Arundale,Art/Culture,Reviving Bharatanatyam Dance,Graceful / Artistic / Devoted,"Art must elevate not merely entertain.",#A7C7E7
Kalpana Chawla,Exploration/Science,Reaching for the Stars,Determined / Dreamy / Pioneering,"The path from dreams to success does exist.",#A7C7E7
Anne Frank,Writing/Hope,Finding Light Amid Darkness,Innocent / Wise / Reflective,"In spite of everything I still believe that people are really good at heart.",#A7C7E7
Hypatia,Mathematics/Philosophy,Teaching Science in a Hostile World,Wise / Rational / Courageous,"Reserve your right to think for even to think wrongly is better than not to think at all.",#B2E3B6
Lise Meitner,Physics/Discovery,Uncovering Nuclear Fission Despite Discrimination,Brilliant / Humble / Dedicated,"Science makes people reach selflessly for truth and objectivity.",#B2E3B6
Rosalind Franklin,Biology/Research,Unveiling DNA Structure,Precise / Analytical / Underappreciated,"Science and everyday life cannot and should not be separated.",#B2E3B6
Chien-Shiung Wu,Physics/Experimentation,Proving Parity Violation in Physics,Determined / Innovative / Diligent,"There is only one thing worse than coming home defeated — not having fought at all.",#B2E3B6
Grace Hopper,Computer Science/Innovation,Bridging Code and Machines,Inventive / Logical / Bold,"The most dangerous phrase in the language is 'We’ve always done it this way.'",#B2E3B6
Katherine Johnson,Mathematics/Space,Calculating the Future of NASA Missions,Brilliant / Humble / Fearless,"We will always have STEM with us. Some things will drop out of the public eye and go away but there will always be science.",#B2E3B6
Dorothy Hodgkin,Chemistry/Discovery,Solving Molecular Structures,Meticulous / Patient / Dedicated,"I was captured for life by chemistry and by crystals.",#B2E3B6
Barbara McClintock,Genetics/Curiosity,Discovering Genetic Transposition,Curious / Persistent / Insightful,"If you know you are on the right track if you have this inner knowledge then nobody can turn you off.",#B2E3B6
Gertrude B. Elion,Pharmacology/Innovation,Developing Lifesaving Drugs,Inventive / Patient / Focused,"Don't be afraid of hard work. Nothing worthwhile comes easily.",#B2E3B6
Jane Goodall,Primatology/Conservation,Understanding and Protecting Animals,Empathetic / Observant / Kind,"What you do makes a difference and you have to decide what kind of difference you want to make.",#B2E3B6
Rachel Carson,Environmental Science/Activism,Warning the World About Pollution,Visionary / Brave / Articulate,"The more clearly we can focus our attention on the wonders of the universe the less taste we shall have for destruction.",#B2E3B6
Mae Jemison,Space Exploration/Inspiration,Becoming the First Black Woman in Space,Curious / Adventurous / Inspiring,"Never be limited by other people’s limited imaginations.",#B2E3B6
Valentina Tereshkova,Space/Exploration,Becoming the First Woman in Space,Fearless / Determined / Resilient,"Once you’ve been in space you appreciate how small and fragile the Earth is.",#B2E3B6
Mary Anning,Paleontology/Discovery,Uncovering Prehistoric Life,Curious / Persistent / Observant,"The world has used me so unkindly but I did nothing but dig for truth.",#B2E3B6
Tu Youyou,Medicine/Innovation,Discovering Antimalarial Treatments,Dedicated / Insightful / Patient,"Every scientist dreams of doing something that can help mankind.",#B2E3B6
Donna Strickland,Physics/Lasers,Innovating in Laser Technology,Focused / Humble / Creative,"You can do great science and still have a life outside the lab.",#B2E3B6
Jennifer Doudna,Genetics/CRISPR,Editing the Future of DNA,Innovative / Ethical / Visionary,"Science is a team sport.",#B2E3B6
Emmanuelle Charpentier,Biochemistry/Research,Co-Developing CRISPR Technology,Curious / Collaborative / Patient,"Follow your curiosity. It may take you somewhere wonderful.",#B2E3B6
Vera Rubin,Astronomy/Discovery,Proving the Existence of Dark Matter,Inquisitive / Persistent / Brilliant,"Science progresses best when observations force us to alter our preconceptions.",#B2E3B6
Maria Goeppert Mayer,Physics/Research,Developing the Nuclear Shell Model,Logical / Creative / Quiet,"Do your work for the joy of the doing.",#B2E3B6
Hedy Lamarr,Technology/Invention,Creating the Basis for Wi-Fi,Creative / Ingenious / Independent,"The brains of people are more interesting than their looks.",#B2E3B6
Anandi Gopal Joshi,Medicine/Pioneering,Becoming India’s First Female Doctor,Ambitious / Compassionate / Brave,"I will go to America because the doors of learning are closed to me here.",#B2E3B6
Elizabeth Blackwell,Medicine/Trailblazing,Becoming the First Female Physician,Resilient / Visionary / Kind,"If society will not admit of woman's free development then society must be remodeled.",#B2E3B6
Mary Jackson,Engineering/Equality,Breaking Barriers at NASA,Smart / Brave / Hardworking,"We have to do something when we see a problem.",#B2E3B6
Radia Perlman,Computer Science/Networking,Creating the Spanning Tree Protocol,Innovative / Logical / Practical,"If you have to do it twice automate it.",#B2E3B6
Marian Diamond,Neuroscience/Education,Studying the Plasticity of the Brain,Curious / Energetic / Inspirational,"The brain can change with experience. It's never too late.",#B2E3B6
Kiran Mazumdar-Shaw,Biotechnology/Entrepreneurship,Building India’s Biotech Industry,Visionary / Ambitious / Fearless,"Entrepreneurship is about being able to face failure manage failure and succeed after failure.",#B2E3B6
Gerty Cori,Biochemistry/Discovery,Unraveling Sugar Metabolism,Patient / Smart / Persistent,"The love for science knows no boundaries.",#B2E3B6
Mária Telkes,Engineering/Solar Energy,Inventing Solar Power Systems,Inventive / Visionary / Tenacious,"Sunlight will never be exhausted.",#B2E3B6
Henrietta Leavitt,Astronomy/Measurement,Discovering How to Measure the Universe,Focused / Modest / Insightful,"A straight line may mean more than you think.",#B2E3B6
Jocelyn Bell Burnell,Astronomy/Discovery,Finding the First Pulsars,Diligent / Observant / Modest,"You have to be true to what you are doing.",#B2E3B6
Sally Ride,Space/Science,Becoming the First American Woman in Space,Inspiring / Brave / Curious,"Science is fun. Science is curiosity. We all have natural curiosity.",#B2E3B6
Nettie Stevens,Genetics/Discovery,Finding the XY Sex Determination System,Precise / Focused / Determined,"Small things can explain great differences.",#B2E3B6
Rita Levi-Montalcini,Neurology/Research,Discovering Nerve Growth Factor,Patient / Innovative / Dedicated,"Above all don’t fear difficult moments. The best comes from them.",#B2E3B6
Ellen Ochoa,Space/Engineering,Leading NASA and Space Missions,Focused / Visionary / Calm,"Don’t be afraid to reach for the stars.",#B2E3B6
Jane Cooke Wright,Medicine/Innovation,Developing Cancer Treatments,Innovative / Determined / Compassionate,"We are all here to make a difference.",#B2E3B6
Katie Bouman,Astrophysics/Computing,Imaging the First Black Hole,Young / Brilliant / Visionary,"No one algorithm or person made this image. It required the amazing talent of a team.",#B2E3B6
Sarah Gilbert,Immunology/Research,Developing the Oxford COVID-19 Vaccine,Focused / Selfless / Determined,"We had to move quickly. Science had to deliver.",#B2E3B6
Gladys West,Mathematics/Technology,Contributing to the Creation of GPS,Precise / Quiet / Dedicated,"Keep working even if no one notices.",#B2E3B6
Katherine Esau,Botany/Science,Revolutionizing Plant Anatomy,Patient / Rigorous / Insightful,"There is beauty in the order of nature.",#B2E3B6
Edith Clarke,Electrical Engineering/Innovation,Designing Power Transmission Tools,Analytical / Pioneering / Independent,"There is no demand for women engineers, as such. But there is always a demand for engineers.",#B2E3B6
Tuula Teeri,Biotechnology/Leadership,Advancing Bioeconomy Research,Strategic / Visionary / Grounded,"Innovation is the path from ideas to impact.",#B2E3B6
Lynn Margulis,Biology/Theory,Proposing Symbiosis as Evolutionary Force,Radical / Brilliant / Fearless,"Life did not take over the globe by combat but by networking.",#B2E3B6
Fe del Mundo,Pediatrics/Service,Founding the First Pediatric Hospital,Kind / Visionary / Tireless,"The rewards of service are beyond measure.",#B2E3B6
Chandralekha,Science/Art,Combining Science and Dance,Creative / Analytical / Bold,"Science and art are both forms of inquiry.",#B2E3B6
Maria Montessori,Education/Innovation,Creating Child-Centered Learning,Observant / Gentle / Visionary,"Free the child's potential and you will transform the world.",#B2E3B6
Ruth Benerito,Chemistry/Textiles,Inventing Wrinkle-Free Cotton,Inventive / Practical / Persistent,"Do something useful with your talents.",#B2E3B6
Mary Leakey,Anthropology/Discovery,Unearthing Human Origins,Adventurous / Methodical / Persistent,"The past is never dead. It is not even past.",#B2E3B6
Shirley Ann Jackson,Physics/Leadership,Bridging Science and Policy,Smart / Visionary / Disciplined,"Science can drive social progress if guided with purpose.",#B2E3B6
Oprah Winfrey,Media / Empowerment,Overcoming poverty and trauma to inspire others,Resilient / Charismatic / Empathetic,"Turn your wounds into wisdom.",#FFD3B6
Malala Yousafzai,Education / Activism,Fighting for girls’ right to education,Brave / Intelligent / Determined,"One child/ one teacher/ one book/ one pen can change the world.",#FFD3B6
Greta Thunberg,Climate Activism,Challenging global leaders for environmental action,Passionate / Fearless / Persistent,"I want you to act as if the house is on fire/ because it is.",#FFD3B6
Serena Williams,Sports / Empowerment,Breaking barriers in tennis and gender equality,Strong / Confident / Tenacious,"I don’t like to lose — at anything — yet I’ve grown most from losses.",#FFD3B6
Beyoncé,Music / Creativity,Expressing identity and power through art,Powerful / Creative / Disciplined,"Power’s not given to you. You have to take it.",#FFD3B6
Emma Watson,Acting / Feminism,Balancing fame with advocacy for gender equality,Intelligent / Grounded / Articulate,"Both men and women should feel free to be sensitive. Both men and women should feel free to be strong.",#FFD3B6
Sheryl Sandberg,Business / Leadership,Advocating for women in corporate spaces,Strategic / Motivational / Ambitious,"What would you do if you weren’t afraid?",#FFD3B6
Michelle Obama,Leadership / Education,Using influence for youth and women empowerment,Compassionate / Grounded / Inspiring,"When they go low/ we go high.",#FFD3B6
Rihanna,Entrepreneurship / Creativity,Creating inclusive beauty and fashion brands,Bold / Visionary / Authentic,"There’s something so special about a woman who dominates in a man’s world.",#FFD3B6
Marie Kondo,Organization / Simplicity,Helping others find joy through decluttering,Calm / Focused / Uplifting,"The question of what you want to own is actually the question of how you want to live your life.",#FFD3B6
Zendaya,Acting / Representation,Redefining modern beauty and diversity in media,Confident / Grounded / Inspirational,"There is no definition of beauty/ but when you can see someone’s spirit shining through/ that’s beautiful.",#FFD3B6
Melinda Gates,Philanthropy / Equality,Fighting for global healthcare and women’s empowerment,Generous / Strategic / Kind,"A woman with a voice is by definition a strong woman.",#FFD3B6
Indra Nooyi,Business / Leadership,Navigating success while balancing family and career,Intelligent / Visionary / Balanced,"Leadership is hard to define/ and good leadership even harder.",#FFD3B6
Gitanjali Rao,Innovation / STEM,Inspiring youth through invention and creativity,Curious / Determined / Inspiring,"Science is not something to be afraid of; it’s something to explore.",#FFD3B6
Taylor Swift,Music / Storytelling,Transforming personal struggles into creative expression,Articulate / Resilient / Honest,"Just be yourself/ there is no one better.",#FFD3B6
Kylie Jenner,Business / Influence,Building an empire from digital culture,Ambitious / Strategic / Fearless,"Love is the most powerful thing we have.",#FFD3B6
Priyanka Chopra,Acting / Global Impact,Breaking cultural boundaries internationally,Dynamic / Confident / Versatile,"You can’t half-ass anything; you have to always be full-assed.",#FFD3B6
Emma González,Activism / Courage,Advocating against gun violence,Bold / Passionate / Fearless,"We call BS!",#FFD3B6
Kamala Harris,Politics / Justice,Breaking political and racial barriers,Determined / Poised / Inspirational,"I may be the first woman in this office/ but I won’t be the last.",#FFD3B6
Alexandria Ocasio-Cortez,Politics / Activism,Representing marginalized communities,Outspoken / Visionary / Grounded,"I am not going to compromise who I am.",#FFD3B6
Deepika Padukone,Acting / Mental Health,Advocating for mental wellness awareness,Elegant / Brave / Open,"Every day is a fight; you just have to keep going.",#FFD3B6
Billie Eilish,Music / Authenticity,Redefining artistic individuality and vulnerability,Honest / Rebellious / Unique,"I don’t need to worry about what people think of me.",#FFD3B6
Huda Kattan,Beauty / Entrepreneurship,Building a global beauty brand from scratch,Ambitious / Creative / Bold,"Don’t let anyone tell you you can’t make it.",#FFD3B6
Ava DuVernay,Film / Storytelling,Championing Black voices through film,Visionary / Brave / Compassionate,"If your dream only includes you/ it’s too small.",#FFD3B6
Reshma Saujani,Leadership / Tech,Encouraging girls to code and lead,Bold / Empathetic / Driven,"Teach girls bravery/ not perfection.",#FFD3B6
Naomi Osaka,Sports / Advocacy,Balancing fame with mental health,Calm / Focused / Courageous,"It’s okay not to be okay.",#FFD3B6
Florence Pugh,Acting / Authenticity,Standing up for individuality in Hollywood,Grounded / Fierce / Confident,"Don’t be scared of the big moments.",#FFD3B6
Zendaya,Acting / Representation,Inspiring inclusivity in entertainment,Stylish / Thoughtful / Grounded,"Don’t try to fit in when you were born to stand out.",#FFD3B6
Dua Lipa,Music / Independence,Building confidence through self-expression,Stylish / Ambitious / Independent,"Be the one to make a difference.",#FFD3B6
Dolly Parton,Music / Kindness,Staying humble and empowering others,Humble / Funny / Talented,"Find out who you are and do it on purpose.",#FFD3B6
Amelia Earhart,Aviation / Exploration,Defying gender norms to conquer the skies,Brave / Adventurous / Determined,"The most effective way to do it, is to do it.",#C3E0E5
Valentina Tereshkova,Space Exploration / Science,Becoming the first woman in space against all odds,Courageous / Pioneering / Humble,"Hey sky, take off your hat, I’m on my way!",#C3E0E5
Junko Tabei,Mountaineering / Exploration,Becoming the first woman to summit Mount Everest,Resilient / Fearless / Inspirational,"Do not give up. Keep on your quest.",#C3E0E5
Florence Griffith Joyner,Athletics / Sprinting,Setting records while embracing individuality,Fast / Fierce / Stylish,"I don’t look at myself as a sprinter. I look at myself as an entertainer.",#C3E0E5
Wilma Rudolph,Athletics / Perseverance,Overcoming polio to become an Olympic champion,Determined / Graceful / Inspirational,"Never underestimate the power of dreams and the influence of the human spirit.",#C3E0E5
Simone Biles,Gymnastics / Excellence,Pushing boundaries while advocating for mental health,Strong / Honest / Focused,"I’m not the next Usain Bolt or Michael Phelps, I’m the first Simone Biles.",#C3E0E5
Serena Williams,Tennis / Empowerment,Redefining strength and persistence in women’s sports,Confident / Powerful / Resilient,"Luck has nothing to do with it.",#C3E0E5
Mia Hamm,Football / Leadership,Elevating women’s soccer on the global stage,Team-Oriented / Determined / Passionate,"Somewhere behind the athlete you’ve become is the little girl who fell in love with the game.",#C3E0E5
Nadia Comăneci,Gymnastics / Perfection,Achieving the first perfect 10 in Olympic history,Disciplined / Graceful / Visionary,"Hard work has made it easy. That is my secret.",#C3E0E5
Martina Navratilova,Tennis / Activism,Challenging norms in sport and identity,Strong / Fearless / Unapologetic,"The moment of victory is much too short to live for that and nothing else.",#C3E0E5
